"" "" "" "" "" "" "" "" "foldChange"
"CISH" 3.49823218395982 0 15.9387330863611 0 0.00046812865497076 0.516141025641026 0 0.232228571428571 -1.21276595744681
"BST1" 11.1469561928099 0 16.1274208166717 0 0 0.378810344827586 0 0.198782608695652 0.824561403508815
"HELZ" 15.6321472651242 0 6.21687946254502 0 0.00015647226173542 0.520965197215777 0.982907972964419 0.277297539149888 0.824561403508772
"GPR183" 6.61821400539519 0 13.330239736882 0 -0.000153846153846154 0.29107027027027 0.0858585111839074 0.137458823529412 -1.21276595744681
"FECH" 6.02274276879394 0 33.914241123159 0 0.000324009324009324 0.44165671641791 0 0.232228571428571 0.824561403508769
"RFTN1" 5.89681767193355 0 16.1482449513077 0 0.000245063879210221 0.520965197215777 0 0.197694581280788 0.824561403508779
"FCER1A" 22.1648833104071 0.00970700636942675 70.0150246305419 0 0.0139755228978074 0.520965197215777 0 0.272269141531322 -1.21276595744681
"CCR7" 33.9578794570647 0 47.1505813517888 0 0.000241758241758242 0.268941176470588 0 0.152 -1.21276595744681
"FAM118A" 5.46596585383804 0.0396386036960986 14.3243097838836 0.0884836065573771 -5e-05 0.520965197215777 0 0.392407185628742 -1.21276595744686
"GLCCI1" 33.6286993640331 0 43.2037640128131 0.00970700636942675 0.00143997945313735 0.520965197215777 0.269739296131617 0.343925465838509 -1.21276595744681
"LGALS12" 7.69593384529281 0 49.2548483460389 0 0 0.255577639751553 0 0.156307692307692 -1.21276595744681
"RUNX3" 15.7570921122212 0 23.214560214006 0 0 0.119269565217391 0 0.178740740740741 -1.21276595744681
"NDFIP1" 3.90823325448342 0 47.0834909762544 0 -4.27350427350427e-06 0.0586153846153846 0 0.0241904761904762 0.824561403508772
"RNF146" 11.2098416925598 0 23.6105058734369 0 0.000524163120980746 0.0590697674418605 0 0.179473053892216 0.82456140350877
"CTSS" 28.8807339439786 0 4.07952052231341 0 0.00156619754514491 0 0 0.115018867924528 0.824561403508771
"MMP19" 6.13742915214866 0 24.5245513526596 0.0010995670995671 0.000294117647058824 0.534678336980306 0 0.236697547683924 0.824561403508767
"LOC101060424" 5.07360249566924 0 3.7235702792246 0 0.000165869218500797 0.520965197215777 0 0.223397590361446 -1.21276595744681
"TLR7" 18.7202364569704 0 13.3790680699682 0 0.000291309669522644 0.370702702702703 0 0.198782608695652 0.82456140350877
"NLRC4" 27.089304793919 0 39.2477745232564 0 0.000544601086048455 0.100641509433962 0 0.198782608695652 0.824561403508772
"TRGC2" 26.7566547601361 0 47.0647496208725 0 -5e-05 0.460828571428571 0 0.175846153846154 -1.21276595744681
"COA7" 17.1532808979385 0 54.214312721975 0 0 0.532780487804878 0 0.223397590361446 0.824561403508771
"ZFYVE21" 5.33581196569139 0 35.4789974420168 0 5.71428571428571e-05 0.541721627408994 0 0.223397590361446 0.824561403508771
"CYLD" 6.02933864201869 0 25.6593589096347 0 0.00020960960960961 0.122903225806452 0 0.210506849315068 -1.21276595744681
"KIF21B" 29.8718239074573 0 50.1750033538961 0 0.000454505829791871 0.4761393728223 0 0.209176470588235 -1.21276595744681
"UTRN" 9.99325402378143 0 39.7094823761589 0 0.000393040293040293 0.326029850746269 0 0.232228571428571 0.824561403508771
"TRGV9" 9.71842630115763 0 56.4545847857076 0 0 0.352055813953488 0 0.156575342465753 -1.21276595744681
"GTF2H2B" 9.69994460627007 0 18.8654076023213 0 0.000164171122994652 0.938 0 0.198782608695652 0.824561403508771
"C21orf91-OT1" 20.9578205843607 0.373470355731225 43.14392135761 0.188336673346693 0.00105012359901121 0.520965197215777 0 0.359618661257606 -1.21276595744681
"TRAPPC12" 20.357739142365 0 22.1837140495686 0 0.000117647058823529 0.0590697674418605 0 0.198782608695652 0.824561403508773
"ARHGAP1" 17.4342762992777 0 42.4167992534345 0 0.000225670163170163 0.519217665615142 0.535919736615692 0.20831654676259 0.824561403508734
"XRCC5" 8.27448823501873 0 16.0899210422261 0 -0.00015 0.129015873015873 0 0.198782608695652 0.824561403508767
"CD207" 54.0637839512595 0 4.1761295127554 0 0.000618852981643679 0.513029702970297 0 0.277297539149888 -1.21276595744681
"TIPRL" 6.25680889129566 0 10.890536256597 0 0.00027953667953668 0.387966244725738 0 0.234461538461538 0.824561403508773
"DUSP4" 24.97752326955 0 22.2882239119844 0 -4.76190476190476e-05 0.634217659137577 0 0.23049552238806 -1.21276595744681
"ATP2A3" 9.0902179664553 0 36.8365481211514 0 0.000250549450549451 0 0.226551721250939 0.198782608695652 -1.21276595744681
"HAUS1" 5.92483136335605 0 41.287585541511 0 0.000926461870749419 0.29107027027027 0.159017882026206 0.250801007556675 0.824561403508772
"MEIS3P1" 36.9796934733077 0 17.7018319137135 0 0.000123839009287926 0.158289855072464 2.11344415130395 0.198782608695652 0.824561403508768
"SCOC" 1.23136719527998 0 33.4894679524445 0 -4.63383838383838e-05 0 0.855079573748451 0.137458823529412 0.824561403508772
"ADORA3" 42.3292200391273 0 35.5935549984035 0 -0.000106837606837607 0.122903225806452 0.652212647851486 0.234461538461538 -1.21276595744681
"ICOSLG" 19.3828015687752 0 15.6167036477836 0 0.000150192554557125 0.520965197215777 0.592420921964118 0.231321428571429 -1.21276595744681
"RASAL3" 17.6922401214823 0 45.566556125391 0 9.75609756097561e-05 0.110836363636364 0.565116089273625 0.155737226277372 -1.21276595744681
"UBA3" 12.5541492251825 0 44.5469766392314 0 0.000493573185154617 0.483305555555556 0.515283373086193 0.23049552238806 0.824561403508771
"IL18R1" 5.64635338012127 0 60.1793591332277 0 0.000391174716756112 0.527191111111111 0.512621431878325 0.198782608695652 -1.21276595744681
"DAD1" 27.3516338291937 0 10.6833127882683 0 0.105792492453618 0.520965197215777 0.504311288859337 0.191497382198953 0.82456140350877
"REL" 35.8260183900648 0 17.5124949201224 0 -0.000105263157894737 0.145676470588235 0.367689985467333 0.20831654676259 -1.21276595744681
"TBC1D2B" 15.9735353505151 0 25.8911929141395 0 0 0.136769230769231 0.363443186241341 0.217714285714286 0.824561403508772
"SMG1P5" 6.11391597130185 0 25.532926148778 0 0.00186943391261427 0.520965197215777 0.313271542152246 0.232474576271186 -1.2127659574468
"DNAJB1" 60.519045699908 0 44.9348928851901 0 0.000163371266002845 0.13096875 0.313120710328364 0.198782608695652 -1.21276595744681
"COL4A3BP" 17.9789424870777 0 45.820301811908 0 0 0.606865424430642 0.309796961652458 0.145142857142857 0.82456140350877
"CD1E" 10.7526863641502 0 23.8026420242587 0 0 0.520965197215777 0.304262642132403 0.198782608695652 -1.2127659574468
"TRAF1" 21.1116605653625 0 16.6310915087982 0 0.000269681121858657 0.264646706586826 0.28982000785105 0.168211920529801 -1.21276595744681
"VSTM1" 31.632995314034 0 25.6663531362262 0 5.26315789473684e-05 0.119269565217391 0.255702676337846 0.198782608695652 -1.21276595744681
"PLBD1" 22.8736313407761 0 41.2045421559236 0 0.00033050193050193 0 0.255408910706638 0.115018867924528 0.824561403508775
"PQLC3" 11.2048675615386 0 54.5173155867121 0 0.000386938264987045 0.444265682656827 0.24444958301063 0.198782608695652 0.824561403508771
"SIGLEC7" 8.33705532514738 0 39.3553859549817 0 0.00622689996511353 0.511409395973154 0.204638493665943 0.20667680608365 0.824561403508771
"TES" 24.3926488411269 0 23.6810311680894 0 0.000351388888888889 0.516141025641026 0.203111287292419 0.239544715447154 -1.21276595744681
"TTYH2" 21.7868313213017 0 30.0374136028532 0 0.000296031746031746 0.516141025641026 0.20171858513418 0.255872235872236 -1.21276595744681
"STX7" 30.2036303191753 0 60.2011886129149 0 0.000358395989974937 0 0.201100826001814 0.131703703703704 0.824561403508772
"SOCS1" 1.24876632945095 0 30.3450367437945 0 0.000274029657240094 0.71628 0.196097806447382 0.210506849315068 -1.21276595744681
"CCNYL1" 46.5537352507603 0 61.1981136492193 0 0.00280189578780618 0 0.18841068658208 0.214073578595318 0.824561403508772
"CAMP" 21.427395522407 0 36.0789181547374 0 0 0.520965197215777 0.165513593491693 0.255872235872236 0.824561403508774
"PTPRCAP" 3.82043779103468 0 48.3294856986734 0 5.37930191331989e-05 0.370702702702703 0.155401977115712 0.271803738317757 -1.2127659574468
"GNB4" 6.62181602726758 0 2.81642221471682 0 0.00254498197580853 0.29107027027027 0.151798173482259 0.203984555984556 0.82456140350877
"STAC3" 35.4112897013981 0 43.1531676763659 0 0.000250501253132832 0.520965197215777 0.144684376557061 0.241130666666667 0.824561403508769
"ASXL1" 12.703762396487 0 25.4382708665291 0 0.00268660360762689 0.520965197215777 0.14201732116475 0.174831168831169 -1.21276595744681
"ARPC3" 48.1331762061533 0 45.643975323955 0 -5.40540540540541e-05 0.145676470588235 0.137800370572579 0.149137614678899 0.824561403508766
"ADAM19" 17.03946489625 0 46.9725971394208 0 0.00105263157894737 0.527191111111111 0.136321559263106 0.234244444444444 -1.21276595744681
"CD1C" 21.8087331245498 0 28.4175414647464 0 0.000672044622044622 0.442148148148148 0.132160626334442 0.172653594771242 0.824561403508765
"PTBP3" 24.1765905791318 0 56.5416098269547 0 0 0.520965197215777 0.130808686251681 0.176695652173913 0.824561403508776
"ETS1" 26.6673020100741 0.0180669456066946 35.3473058604136 0.00868376068376068 0.000624019398088718 0.527191111111111 0.130489952080033 0.246854219948849 -1.21276595744681
"GPR171" 24.3563758042153 0.0107399577167019 45.7584129246209 0.0106947368421053 0.000157894736842105 0.520965197215777 0.126861131955449 0.260076555023923 -1.21276595744681
"GGT5" 2.52204275810176 0 41.7411866476495 0 0.00015 0.191324675324675 0.119660836925181 0.147177570093458 -1.21276595744681
