"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"GPR183",1.10702499953703,0,1.10232365762502,0,0.302071895461658,0,1.22550434959997,0,0.159249193137421,0,1.38204666399636,0,0.000162987358443113,0.999936758893281,0.000372670807453416,0.454172185430464,0,0.0812249322493225,0,0.0637095709570957,0,0.0736231884057971,0.0810776187618986,0,1.25038552765613,0.517513108614232
"FECH",0.627870934455731,0,0.627102119722434,0,0.999982514977246,0.00268783068783069,0.394221910334311,0,2.86291829454731,0.00268783068783069,1.64203660090807,0,0.000205590474892513,0.999936758893281,0,0.453813333333333,0,0.0812249322493225,0,0.063854748603352,0,0.0903111111111111,0.196231322954618,0,2.43704555790974,0.245936507936508
"RFTN1",1.23757263480879,0.025796875,3.73568430547345,0.0256964980544747,0.907679302756647,0.00268783068783069,1.53158602642758,0.025796875,16.9604212671989,0.00268783068783069,0.57057330436488,0.0216589147286822,4.90700647653409e-06,0.999936758893281,-1e-04,0.0137297297297297,0,0.0812249322493225,0,0.063854748603352,0,0.0612048192771084,0.367216897505086,0.0376296296296296,0.307610725064645,0.42258407079646
"FCER1A",3.74945581687618,0.0301037037037037,1.23372410663139,0.0303283582089552,0.678943545485478,0.0263407407407407,14.0584189227066,0.0301037037037037,1.01129607609988,0.0280147058823529,14.81776873948,0.0295563636363636,3.87153419705938e-08,0.999936758893281,-1.30434782608696e-05,0.641479591836735,0,0.0812249322493225,0,0.0637095709570957,0,0.0915581395348837,0.0878283671250945,0.0347680608365019,0.201593724385538,0.427436123348018
"CCR7",0.711772136030658,0,4.17790475135968,0,0.999684842441363,0,0.506619573629646,0,12.4446237472397,0,0.245403798216263,0,0.000449595242074361,0.999936758893281,0,0,0,0.0812249322493225,0,0.0637095709570957,0,0.0725714285714286,0.0460189380159587,0,0.147048886193338,0.0260512820512821
"FAM118A",4.20120462135854,0.423734597156398,0.871636913867953,0.426142180094787,0.709106225877407,0.432830548926014,17.6501202705243,0.423734597156398,0.0206386954306099,0.432830548926014,2.19485215555006,0.420123222748815,0.000129662003506681,0.999936758893281,0,0.695890410958904,0,0.127252485089463,0,0.100395256916996,0.460018884904453,0.173683794466403,0.461340305369451,0.42516067146283,0.387266867567388,0.541866666666667
"GLCCI1",0.874177293894872,0.352743276283619,0.707386087980125,0.356839024390244,0.107076876481888,0.504447552447552,0.764185941161357,0.352743276283619,1.14379140479022,0.504447552447552,0.318243211482039,0.337421568627451,1.9935886555537e-07,0.999936758893281,2.41545893719807e-05,0.585694117647059,0,0.12192,0,0.0989741550695825,0.338892318698352,0.139959183673469,0.121357970887037,0.399495145631068,0.387931483005323,0.803563636363636
"LGALS12",3.89043354218482,0.0149411764705882,3.88910808821801,0.0150042194092827,0.999996800508053,0.0180711462450593,15.1354731461567,0.0149411764705882,19.5504501443859,0.0180711462450593,3.4784348183159,0.0108547008547009,0.000301165672685886,0.999936758893281,0.000505952380952381,0.767474137931034,0,0.0812249322493225,0,0.0637095709570957,0.217395405741914,0.0736231884057971,0.0761783674702782,0.0139178082191781,0.284940539562475,0.540657142857143
"RUNX3",1.82696331386695,0.00510552763819095,3.52701302891558,0.00510552763819095,0.927645249813578,0.00268783068783069,3.3377949502157,0.00510552763819095,3.25352471547477,0.00268783068783069,20.5885107931943,0.00490821256038647,1.61140339826439e-06,0.999936758893281,2e-04,0.85143661971831,0,0.0812249322493225,0,0.0637095709570957,0.215240052307469,0.0670943396226415,0.520697784437033,0.00967619047619048,1.91361324138545,0.871522935779816
"NDFIP1",0.555289535277941,0.00729186602870813,1.83529315018245,0.00732692307692308,0.57689169415294,0.00474766355140187,0.308346467989181,0.00729186602870813,0.662731442160693,0.00474766355140187,2.26243956901536,0.00490821256038647,2.92653644935723e-06,0.999936758893281,0.000347826086956522,0.585694117647059,0,0.0812249322493225,0,0.0637095709570957,0.194051709482507,0.0508,0.389922320147946,0.0118691588785047,0.104588879048358,0.299012658227848
