"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"CCL17",0.687528111195403,0.419,0.494700041522254,0.422,0.922332762921019,0.487,0.472694903683926,0.419,3.13937489383387,0.487,0.517865805694305,0.41,1.85525892910338e-05,0.654,0.000360060229625447,0.74,0.229095909856375,0.058,0.0300501060132363,0.046,0,0.095,0.0748423364074755,0.459,3.32677441265529,0.253
"SATB1",0.310363471106342,0.001,0.310396723023536,0.001,0.479145080766171,0.001,0.0963254841971847,0.001,0.428316629862409,0.001,0.263303960955283,0.001,9.3723201047004e-05,0.614,-9.09090909090909e-05,0.381,0.169623370169864,0.01,0.0120998795873461,0.007,0.116987651125934,0.006,0.183029371910117,0.001,0.396903482359755,0.091
"SOCS2",4.0889742511816,0.046,4.08411317597689,0.047,0.99992569000871,0.079,16.7197104268262,0.046,14.9220315950399,0.079,2.40448641375077,0.038,9.2022812698702e-05,0.854,3e-04,0.529,0.132645190883261,0.046,0,0.041,0,0.05,0.355886281533636,0.078,0.498391746900732,0.356
"SMOX",1.68603233516248,0,1.66873392031969,0,0.437072886432761,0,2.84270503521344,0,0.348819432648208,0,0.186095847349644,0,8.15149402173828e-05,0.428,0,0.006,0.0618352454684687,0.04,0,0.033,0,0.041,0.162559956378736,0,1.8692579406652,0.002
"BIRC3",4.68406216644272,0,4.63376954696002,0,0.999684842441363,0,21.9404383791,0,12.4446237472397,0,15.8862559381479,0,0.000235261803518764,0.199,-0.000181818181818182,0.015,0,0.011,0,0.011,0,0.007,0.214572987712264,0,3.91505084141273,0
"LOC101927770",0.869755943983487,0.545,0.867513332074889,0.544,0.999705697023482,0.688,0.756475402094605,0.545,12.4446237472397,0.688,13.5996323932847,0.541,0.000587350590472764,0.995,0.00063432645785587,0.449,0,0.07,0,0.053,0,0.098,0.398646101431573,0.552,2.0708687296457,0.841
"TARP",4.97622623202218,0.837,3.73033035147525,0.839,0.489408304707907,0.814,24.7628275122657,0.837,0.449464922711058,0.814,0.76858646268684,0.835,0.000138300678954843,0.613,0.00082996632996633,0.567,0,0.034,0,0.027,0,0.039,0.18696281838212,0.85,4.22580072302761,0.229
"CISH",3.72351973851342,0.13,4.95584044883682,0.132,0.999993885354309,0.154,13.8645992430991,0.13,13.2454560896891,0.155,23.6972684985658,0.128,1.42675190026644e-05,0.758,0.00215664046098829,0.93,0,0.033,0,0.027,0,0.047,0.460961475733302,0.13,3.14792388103848,0.501
"BST1",1.55198289887377,0,0.424864527157048,0,0.999806421298428,0,2.40865091839663,0,0.134788517071514,0,0.756425607473789,0,0.000448022455979159,0.443,0,0.035,0,0.063,0,0.048,0,0.035,0.0129703054534075,0,0.210455568511153,0
"HELZ",0.426029915698055,0.042,1.54300239493205,0.042,0.278469020438119,0.064,0.18150148906969,0.042,18.8510276881264,0.064,1.21154967131468,0.037,4.8328172626074e-06,0.91,0.000297482837528604,0.587,0,0.073,0,0.061,0,0.081,0.131492198654625,0.056,4.18712260489747,0.614
"GPR183",1.10702499953703,0,1.10232365762502,0,0.302071895461658,0,1.22550434959997,0,0.159249193137421,0,1.38204666399636,0,0.000162987358443113,0.726,0.000372670807453416,0.135,0,0.018,0,0.012,0,0.02,0.0810776187618986,0,1.25038552765613,0.272
"FECH",0.627870934455731,0,0.627102119722434,0,0.999982514977246,0.001,0.394221910334311,0,2.86291829454731,0.001,1.64203660090807,0,0.000205590474892513,0.629,0,0.12,0,0.051,0,0.042,0,0.056,0.196231322954618,0,2.43704555790974,0.061
"RFTN1",1.23757263480879,0.013,3.73568430547345,0.013,0.907679302756647,0.001,1.53158602642758,0.013,16.9604212671989,0.001,0.57057330436488,0.011,4.90700647653409e-06,0.565,-1e-04,0.001,0,0.047,0,0.039,0,0.01,0.367216897505086,0.02,0.307610725064645,0.188
"FCER1A",3.74945581687618,0.016,1.23372410663139,0.016,0.678943545485478,0.014,14.0584189227066,0.016,1.01129607609988,0.015,14.81776873948,0.016,3.87153419705938e-08,0.85,-1.30434782608696e-05,0.48,0,0.047,0,0.031,0,0.062,0.0878283671250945,0.018,0.201593724385538,0.191
"CCR7",0.711772136030658,0,4.17790475135968,0,0.999684842441363,0,0.506619573629646,0,12.4446237472397,0,0.245403798216263,0,0.000449595242074361,0.553,0,0,0,0.014,0,0.008,0,0.018,0.0460189380159587,0,0.147048886193338,0.002
"FAM118A",4.20120462135854,0.352,0.871636913867953,0.354,0.709106225877407,0.357,17.6501202705243,0.352,0.0206386954306099,0.357,2.19485215555006,0.349,0.000129662003506681,0.577,0,0.597,0,0.126,0,0.1,0.460018884904453,0.173,0.461340305369451,0.349,0.387266867567388,0.3
"GLCCI1",0.874177293894872,0.284,0.707386087980125,0.288,0.107076876481888,0.426,0.764185941161357,0.284,1.14379140479022,0.426,0.318243211482039,0.271,1.9935886555537e-07,0.723,2.41545893719807e-05,0.385,0,0.12,0,0.098,0.338892318698352,0.135,0.121357970887037,0.324,0.387931483005323,0.609
"LGALS12",3.89043354218482,0.007,3.88910808821801,0.007,0.999996800508053,0.009,15.1354731461567,0.007,19.5504501443859,0.009,3.4784348183159,0.005,0.000301165672685886,0.881,0.000505952380952381,0.701,0,0.024,0,0.019,0.217395405741914,0.02,0.0761783674702782,0.006,0.284940539562475,0.298
"RUNX3",1.82696331386695,0.002,3.52701302891558,0.002,0.927645249813578,0.001,3.3377949502157,0.002,3.25352471547477,0.001,20.5885107931943,0.002,1.61140339826439e-06,0.781,2e-04,0.83,0,0.02,0,0.017,0.215240052307469,0.014,0.520697784437033,0.004,1.91361324138545,0.748
"NDFIP1",0.555289535277941,0.003,1.83529315018245,0.003,0.57689169415294,0.002,0.308346467989181,0.003,0.662731442160693,0.002,2.26243956901536,0.002,2.92653644935723e-06,0.637,0.000347826086956522,0.353,0,0.014,0,0.011,0.194051709482507,0.003,0.389922320147946,0.005,0.104588879048358,0.093
"RNF146",3.54693396700722,0,4.24370977431825,0,0.999705697023482,0,12.5807405663096,0,15.0456089689146,0,32.216451721755,0,9.32500773311517e-06,0.768,0.000990789473684211,0,0,0.009,0,0.009,0.166515617016413,0.007,0.0957842219445013,0,3.31161450212453,0.044
"CTSS",4.25690982267173,0.001,0.551682009827798,0.001,0.999919810040805,0,18.121281238359,0.001,12.5574995753355,0,25.6210661218179,0,0.000363816768877597,0.712,0.00178500171998624,0.408,0,0.021,0,0.016,0.112954860963211,0.005,0.0743861747116457,0.002,0.592369177400017,0.228
"MMP19",3.95973630980763,0.825,3.95105549155614,0.828,0.776076359768748,0.477,15.6795116432089,0.825,1.51070154577883,0.477,12.1681264688328,0.823,0.000222202349219661,0.994,0.000298698194762268,0.603,0,0.054,0,0.047,0.0929830209822872,0.071,0.357658223941584,0.826,0.590358205920266,0.504
"LOC101060424",4.17769591333953,0.002,4.16272616654508,0.002,0.999999872849167,0.002,17.4531431443338,0.002,14.6764056395448,0.002,14.6106116473345,0.002,6.22244660158233e-07,0.5,0.000287666135034556,0.123,0,0.045,0,0.036,0.0892238173951683,0.046,0.159753640061781,0.003,0.217893332703592,0.061
"TLR7",0.489464377953082,0,1.45136575561809,0,0.999998791293183,0,0.239575377284997,0,24.1712247324614,0,16.7993344266525,0,4.82273057632357e-05,0.632,-0.000165631469979296,0.011,0,0.027,0,0.02,0.0712471352859789,0.014,0.446828410285865,0,0.993835987692603,0.044
