f.test	kruskal.test	component boosting	random Forst	foldChange	
GCSH	0	0	0	0	NA
LOC541473	0	0	0	0	NA
SUCLG2	0	0	0	0	NA
KIT	0	0	0	0	NA
BRCC3	0	0	0	0	NA
PCCA	0	0	0	0	NA
KCNJ13	0	0	0	0	NA
SPAG5-AS1	0	0	0	0	NA
ZNF587B	0	0	0	0	NA
FCER2	0	0	0	0	NA
LENG8	0	0	0	0	NA
SAMD9L	0	0	0	0	NA
LY96	0	0	0	0	NA
PPP1R14A	0	0	0	0	NA
SYMPK	0	0	0	0	NA
IL3RA	0	0	0	0	NA
FLVCR1	0	0	0	0	NA
MMP10	0	0	0	0	NA
MMP12	0	0	0	0	NA
SIAH2	0	0	0	0	NA
FCGR1B	0	1	0	0	NA
TLR1	0	0	0	0	NA
IFI16	0	0	0	0	NA
GPR42	0	0	0	0	NA
RNA45S5	0	0	0	0	NA
CD1B	0	0	0	0	NA
RBM47	0	0	0	0	NA
KMT2A	0	0	0	0	NA
CD24	0	0	0	0	NA
CASP4	0	0	0	0	NA
TPSAB1	0	0	0	0	NA
DNASE1L3	0	0	0	0	NA
EPN2-AS1	0	0	0	0	NA
TLR8	0	0	0	0	NA
F13A1	0	0	0	0	NA
PJA2	0	0	0	0	NA
UGT2B28	0	0	0	0	NA
FCGR1A	0	0	0	0	NA
S100A8	0	0	0	0	NA
RRN3P2	0	0	0	0	NA
NFKBID	0	1	0	0	NA
TRIM22	0	0	0	0	NA
HSD17B11	0	0	0	0	NA
UBE2D1	0	1	0	0	NA
CD1A	0	0	0	0	NA
MNDA	0	0	0	0	NA
DIDO1	0	0	0	0	NA
SLA	0	0	0	0	NA
CTNS	0	0	0	0	NA
MAPK14	0	0	0	0	NA
NR4A3	0	0	0	0	NA
MORC3	0	0	0	0	NA
MSL2	0	0	0	0	NA
IFIT3	0	0	0	0	NA
PALLD	0	0	0	0	NA
SNX18	0	0	0	0	NA
CYSLTR2	0	0	0	0	NA
PSMB9	0	0	0	0	NA
PARP9	0	0	0	0	NA
NUB1	0	0	0	0	NA
SBF2	0	1	0	0	NA
