"" "" "" "" "" "" "" "" "foldChange"
"GLCCI1" 33.6286993640331 0 43.2037640128131 1 0.00143997945313735 1 0.269739296131617 1 NA
"LGALS12" 7.69593384529281 0 49.2548483460389 0 0 1 0 1 NA
"RUNX3" 15.7570921122212 0 23.214560214006 0 0 1 0 1 NA
"NDFIP1" 3.90823325448342 0 47.0834909762544 0 -4.27350427350427e-06 1 0 0.508 NA
"RNF146" 11.2098416925598 0 23.6105058734369 0 0.000524163120980746 1 0 1 NA
"CTSS" 28.8807339439786 0 4.07952052231341 0 0.00156619754514491 0 0 1 NA
"MMP19" 6.13742915214866 0 24.5245513526596 0.508 0.000294117647058824 1 0 1 NA
"LOC101060424" 5.07360249566924 0 3.7235702792246 0 0.000165869218500797 1 0 1 NA
"TLR7" 18.7202364569704 0 13.3790680699682 0 0.000291309669522644 1 0 1 NA
"NLRC4" 27.089304793919 0 39.2477745232564 0 0.000544601086048455 1 0 1 NA
"TRGC2" 26.7566547601361 0 47.0647496208725 0 -5e-05 1 0 1 NA
"COA7" 17.1532808979385 0 54.214312721975 0 0 1 0 1 NA
"ZFYVE21" 5.33581196569139 0 35.4789974420168 0 5.71428571428571e-05 1 0 1 NA
"CYLD" 6.02933864201869 0 25.6593589096347 0 0.00020960960960961 1 0 1 NA
"KIF21B" 29.8718239074573 0 50.1750033538961 0 0.000454505829791871 1 0 1 NA
"UTRN" 9.99325402378143 0 39.7094823761589 0 0.000393040293040293 1 0 1 NA
"TRGV9" 9.71842630115763 0 56.4545847857076 0 0 1 0 1 NA
"GTF2H2B" 9.69994460627007 0 18.8654076023213 0 0.000164171122994652 1 0 1 NA
"C21orf91-OT1" 20.9578205843607 1 43.14392135761 1 0.00105012359901121 1 0 1 NA
"TRAPPC12" 20.357739142365 0 22.1837140495686 0 0.000117647058823529 1 0 1 NA
"ARHGAP1" 17.4342762992777 0 42.4167992534345 0 0.000225670163170163 1 0.535919736615692 1 NA
"XRCC5" 8.27448823501873 0 16.0899210422261 0 -0.00015 1 0 1 NA
"CD207" 54.0637839512595 0 4.1761295127554 0 0.000618852981643679 1 0 1 NA
"TIPRL" 6.25680889129566 0 10.890536256597 0 0.00027953667953668 1 0 1 NA
"DUSP4" 24.97752326955 0 22.2882239119844 0 -4.76190476190476e-05 1 0 1 NA
"ATP2A3" 9.0902179664553 0 36.8365481211514 0 0.000250549450549451 0 0.226551721250939 1 NA
"HAUS1" 5.92483136335605 0 41.287585541511 0 0.000926461870749419 1 0.159017882026206 1 NA
"MEIS3P1" 36.9796934733077 0 17.7018319137135 0 0.000123839009287926 1 2.11344415130395 1 NA
"SCOC" 1.23136719527998 0 33.4894679524445 0 -4.63383838383838e-05 0 0.855079573748451 1 NA
"ADORA3" 42.3292200391273 0 35.5935549984035 0 -0.000106837606837607 1 0.652212647851486 1 NA
"ICOSLG" 19.3828015687752 0 15.6167036477836 0 0.000150192554557125 1 0.592420921964118 1 NA
"RASAL3" 17.6922401214823 0 45.566556125391 0 9.75609756097561e-05 1 0.565116089273625 1 NA
"UBA3" 12.5541492251825 0 44.5469766392314 0 0.000493573185154617 1 0.515283373086193 1 NA
"IL18R1" 5.64635338012127 0 60.1793591332277 0 0.000391174716756112 1 0.512621431878325 1 NA
"DAD1" 27.3516338291937 0 10.6833127882683 0 0.105792492453618 1 0.504311288859337 1 NA
"REL" 35.8260183900648 0 17.5124949201224 0 -0.000105263157894737 1 0.367689985467333 1 NA
"TBC1D2B" 15.9735353505151 0 25.8911929141395 0 0 1 0.363443186241341 1 NA
"SMG1P5" 6.11391597130185 0 25.532926148778 0 0.00186943391261427 1 0.313271542152246 1 NA
"DNAJB1" 60.519045699908 0 44.9348928851901 0 0.000163371266002845 1 0.313120710328364 1 NA
"COL4A3BP" 17.9789424870777 0 45.820301811908 0 0 1 0.309796961652458 1 NA
"CD1E" 10.7526863641502 0 23.8026420242587 0 0 1 0.304262642132403 1 NA
"TRAF1" 21.1116605653625 0 16.6310915087982 0 0.000269681121858657 1 0.28982000785105 1 NA
"VSTM1" 31.632995314034 0 25.6663531362262 0 5.26315789473684e-05 1 0.255702676337846 1 NA
"PLBD1" 22.8736313407761 0 41.2045421559236 0 0.00033050193050193 0 0.255408910706638 1 NA
"PQLC3" 11.2048675615386 0 54.5173155867121 0 0.000386938264987045 1 0.24444958301063 1 NA
"SIGLEC7" 8.33705532514738 0 39.3553859549817 0 0.00622689996511353 1 0.204638493665943 1 NA
"TES" 24.3926488411269 0 23.6810311680894 0 0.000351388888888889 1 0.203111287292419 1 NA
"TTYH2" 21.7868313213017 0 30.0374136028532 0 0.000296031746031746 1 0.20171858513418 1 NA
"STX7" 30.2036303191753 0 60.2011886129149 0 0.000358395989974937 0 0.201100826001814 1 NA
"SOCS1" 1.24876632945095 0 30.3450367437945 0 0.000274029657240094 1 0.196097806447382 1 NA
"CCNYL1" 46.5537352507603 0 61.1981136492193 0 0.00280189578780618 0 0.18841068658208 1 NA
"CAMP" 21.427395522407 0 36.0789181547374 0 0 1 0.165513593491693 1 NA
"PTPRCAP" 3.82043779103468 0 48.3294856986734 0 5.37930191331989e-05 1 0.155401977115712 1 NA
"GNB4" 6.62181602726758 0 2.81642221471682 0 0.00254498197580853 1 0.151798173482259 1 NA
"STAC3" 35.4112897013981 0 43.1531676763659 0 0.000250501253132832 1 0.144684376557061 1 NA
"ASXL1" 12.703762396487 0 25.4382708665291 0 0.00268660360762689 1 0.14201732116475 1 NA
"ARPC3" 48.1331762061533 0 45.643975323955 0 -5.40540540540541e-05 1 0.137800370572579 1 NA
"ADAM19" 17.03946489625 0 46.9725971394208 0 0.00105263157894737 1 0.136321559263106 1 NA
"CD1C" 21.8087331245498 0 28.4175414647464 0 0.000672044622044622 1 0.132160626334442 1 NA
"PTBP3" 24.1765905791318 0 56.5416098269547 0 0 1 0.130808686251681 1 NA
"ETS1" 26.6673020100741 1 35.3473058604136 1 0.000624019398088718 1 0.130489952080033 1 NA
"GPR171" 24.3563758042153 1 45.7584129246209 1 0.000157894736842105 1 0.126861131955449 1 NA
"GGT5" 2.52204275810176 0 41.7411866476495 0 0.00015 1 0.119660836925181 1 NA
"HRH4" 2.13884947715943 0 50.7683364361775 0 0.00137431307246629 1 0.102694768942275 1 NA
"BANK1" 9.77628446663943 0 38.356629475686 0 0.00173012760021746 1 0.101979284809005 1 NA
"THBS1" 20.7722276322733 0.508 43.1430414894594 0.508 0.000569260272890449 1 0.0992892364041184 1 NA
"IL2RA" 13.4370144536104 0 38.822546671621 0 0.000407899645893742 1 0.0833606159876195 1 NA
"RNPEP" 1.28803059311623 0 49.8448964881766 0 0 1 0.0831374050761027 1 NA
"TRAM1" 47.3922157723512 0 16.7361520083757 0 0.00274132886720096 0 0.070784268050687 1 NA
"ANKRD10" 17.2413888642408 0 40.3249610207651 0 0.000125 1 0.0659688162117216 1 NA
"LINC01094" 16.9927934626258 0 26.2413784816775 0 0.000135322679610228 1 0.0557336142109924 1 NA
"BTBD19" 13.5056081327877 0 45.0962498146531 0 -4.65116279069767e-05 1 0.0333821275308165 1 NA
"ADAM1A" 22.6370184516857 1 10.2974669062643 1 0.000583398771770865 1 0 1 NA
"COPG1" 28.4109584886909 0 15.2099436349329 0 0.000649415922189252 1 0 1 NA
"PAQR8" 21.0493944936814 0 11.5727982849235 0 0.000117647058823529 1 0 1 NA
"C8orf60" 3.57538130852302 0 9.31805088919433 0 5.40540540540541e-05 1 0 1 NA
"HN1" 1.4224371799661 0 35.3518316979658 0 0.000235294117647059 1 0 1 NA
"SCARB2" 11.2804836106827 0 4.4364220166212 0 0.0117091317535892 0 0 0 NA
"TPSB2" 11.0138357023495 0 18.8417396874561 0 0 1 0 1 NA
"ETS2" 48.7678179823994 0 34.1243714484987 0 0 0 0 1 NA
"FCF1" 30.0378445961135 0 60.4716071811033 0 0.00225043217377313 1 0 1 NA
"C11orf49" 17.132324256822 0 25.1401928794237 0 5.12820512820513e-05 1 0 1 NA
"ANKRD44-IT1" 1.54085019529595 0 40.388114625968 0 0.000347985347985348 1 0 1 NA
"XPNPEP3" 7.63732841619219 0 36.6880582177514 0 5e-05 1 0 1 NA
"TP53" 11.1375816789088 0 38.6526275814212 0 1e-04 1 0 1 NA
"OTOA" 20.8496391247933 1 35.8256228930276 1 -4.54545454545455e-05 1 0 1 NA
"MAGOHB" 18.569130292348 0 11.1830201314178 0 0 1 0 1 NA
"BROX" 6.60944066611224 0 39.3896284687327 0 0 1 0 1 NA
"PPP3R1" 11.3283420123883 0 32.012079434184 0 0 1 0 1 NA
"COQ2" 29.0962278249724 0 52.9637897887791 0 0.00144198199461357 1 0 1 NA
"CSTA" 24.7727798602998 0 28.8620902755059 0 0.000165869218500797 0 0 1 NA
"ZNF610" 15.5950898171521 0 20.0860456741802 0 0.00132860823387139 1 0 1 NA
"CUL2" 12.2743655538388 0 56.5271863675698 0 0.000556818971824274 1 0 1 NA
"IRF4" 22.8144805599543 0 45.4513045282696 0 0 1 0 1 NA
"TMEM120A" 3.33485505908678 0 4.76482002326937 0 0.00592520665156535 0.508 0 1 NA
"ITM2A" 12.3618522638257 0 47.3597977698749 0 4.87804878048781e-05 1 0 1 NA
"UMPS" 13.0257452156115 0 5.4646946248226 0 0.000376822276822277 1 0 1 NA
"C5orf22" 24.7889179675479 0 44.0670664569599 0 5.40540540540541e-05 1 0 1 NA
"SUMO1" 20.2854398384036 0 27.1452183837438 0 0.000639910909690197 1 0 1 NA
"PRDX3" 0.146190712655224 0 30.5705680028902 0 1.12908961593172e-05 1 0 1 NA
"LOC284454" 42.0569067114941 0 28.6744742130505 0 9.75609756097561e-05 1 0 1 NA
"C2CD5" 13.2069744452469 0 56.0739739137496 0 0 1 0 1 NA
"FLJ37453" 20.5975480206357 1 45.1293004890804 1 -4.87804878048781e-05 1 0 1 NA
"EXTL2" 34.066054255303 1 26.4468327551295 1 0.000206675224646983 1 0 1 NA
"ATG2A" 19.1868345251529 0 35.507116212302 0 0 1 0 1 NA
"DCN" 5.59661612929618 0 29.5569710827475 0 5.27356624917601e-06 1 0 1 NA
"FAM101B" 7.78103230408809 0 42.098266035742 0 0 0 0 1 NA
"BTG1" 40.8144481728661 0 28.4759490741286 0 0.000170726495726496 0 0 0 NA
"ERN1" 17.0591939189538 0 73.9291285970045 0 -9.52380952380952e-05 1 0 1 NA
"TGOLN2" 1.45261263504452 0 5.28164409749599 0 -0.000108108108108108 0 0 1 NA
"LOC100130264" 19.2151090227866 0 22.345726342088 0 0 1 0 1 NA
"SLC7A11" 14.7437829057427 0 24.5309247456335 0 4.22445400924597e-05 1 0 1 NA
"PRKCZ" 15.6732727910312 0 50.0493473534033 0 0 1 0 1 NA
"SH2D2A" 5.24577218951017 0.508 43.1427306754786 0 -0.000106685633001422 1 0 1 NA
"PDE2A" 22.6591441919398 0 22.9067467541739 0 0 1 0 1 NA
"GINM1" 23.9704125626189 0 36.0180347620538 0 0 1 0 1 NA
"SLC16A10" 52.7800466202769 1 37.0408512580444 1 9.19661733615222e-05 1 0 1 NA
"MAP3K1" 41.54785882666 0 16.8849399279952 0 0.000771908453303802 1 0 1 NA
"FRMD4B" 13.0436440085377 0 35.3855886420997 0 0.00124001654117933 1 0 1 NA
"MARS2" 21.1235787189175 1 29.6648443243057 1 0 1 0 1 NA
"DNAJC19" 10.0952683960094 0 47.2020217520753 0 0.000166666666666667 1 0 1 NA
"FAM57A" 24.689832989893 0 33.5628556895022 0 0.0028816383215296 1 0 1 NA
