"","t.test","welch.test","wilcox.test","f.test","kruskal.test","limma","rfe","rf","lasso","elasticnet","boosting","golub","shrinkcat","foldChange"
"UGCG",0,0,0,0,0,0,0,0,0,0,0,0,0,5.87099265981783
"BPIFB1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.61831645090447
"BAZ1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.294861658659343
"FGFR1OP2",0,0,0,0,0,0,0,0,0,0,0,0,0,-7.01760400573631
"GZMB",0,0,0,0,0,0,0,0,0,0,0,0,0,-5.92302259155793
"KLRC4-KLRK1",0,0,0,0,0,0,0,0,0,0,0,0,0,3.58176204962825
"LOC158402",0,0,0,0,0,0,0,0,0,0,0,0,0,-12.3333565520244
"OR4F3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.410013601337423
"LRRC8D",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.96421596121271
"CD93",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.97333507421922
"DENND5B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.622487617930646
"AMELX",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221112308631615
"R3HCC1",0,0,0,0,0,0,0,0,0,0,0,0,0,-5.35616443519814
"LOC100506860",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.265339948185615
"GORASP2",0,0,0,0,0,0,0,0,0,0,0,0,0,7.20024295671313
"PRF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.300392991161709
"NFAT5",0,0,0,0,0,0,0,0,0,0,0,0,0,4.23575313388996
"UNC5B",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25049619980222
"CDR1",0,0,0,0,0,0,0,0,0,0,0,0,0,7.90045170465383
"CLPTM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0910200617751288
"LRP5L",0,0,0,0,0,0,0,0,0,0,0,0,0,0.217414717778381
"IL1R2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.526436194465728
"NELFCD",0,0,0,0,0,0,0,0,0,0,0,0,0,4.45692015333796
"DPY19L1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.92211823257793
"TREML2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.595723197041359
"LINC01366",0,0,0,0,0,0,0,0,0,0,0,0,0,0.550488421835525
"REPS2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.885146459706875
"FLOT1",0,0,1,0,1,0,0,0,0,0,0,0,0,-0.430862593614441
"FLJ44896",0,0,0,0,0,0,0,0,0,0,0,0,0,5.28757058113972
"IL18RAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0.280780648970018
"CLEC12A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.501282896323434
"SPINT1",0,0,0,0,0,0,0,0,0,0,0,0,0,-54.4516021653764
"LOC100506235",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.39581211811926
"EPB41L5",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.875858546652771
"RYR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.94709150651706
"ING2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.229711821871685
"LOC731424",0,0,0,0,0,0,0,0,0,0,0,0,0,1.21657709641503
"RNF125",0,0,0,0,0,0,0,0,0,0,0,0,0,-7.37895753561697
"PHC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.387807423150227
"AKAP11",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45093389415827
"LOC100127886",0,0,0,0,0,0,0,0,0,0,0,0,0,0.895006601291313
"PSMB8-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.263639625259801
"MAFF",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.405534224084463
"LOC100129406",0,0,0,0,0,0,0,0,0,0,0,0,0,1.23745017107265
"MBOAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.504570155503239
"MIR101-1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.669803343012273
"SERPINB8",0,0,0,0,0,0,0,0,0,0,0,0,0,-19.1900773428165
"GTPBP10",0,0,0,0,0,0,0,0,0,0,0,0,0,8.3685877995823
"SLC25A37",0,1,0,0,0,0,0,0,0,0,0,0,0,0.285615544145795
"MGAM",1,0,0,1,0,0,0,0,0,0,0,0,0,-0.969168661897253
"LOC642236",0,0,0,0,0,0,0,0,0,0,0,0,0,542.037592974219
"VNN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.11611429797977
"LMO4",0,0,0,0,0,0,0,0,0,0,0,0,0,5.53925054815696
"DYSF",0,0,0,0,0,0,0,0,0,0,0,0,0,0.860000690579972
"MRPS10",0,0,0,0,0,0,0,0,0,0,0,0,0,1.36466873219846
"HIST1H2AC",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.579709588961477
"VPS36",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.23616144670375
"PIGP",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.10643362770982
"INAFM1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0974453580483656
"IDI2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.358481713263518
"SYNE2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.656992236159034
"TSPAN2",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.43926430103227
"CD3E",0,0,0,0,0,0,0,0,0,0,0,0,0,2.2262368773588
"TMEM14B",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49003099565226
"PITPNA",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112080667950145
"RHOH",0,0,0,0,0,0,0,0,0,0,0,0,0,0.197620600894804
"DOCK5",0,0,0,0,0,0,0,0,0,0,0,0,0,0.479084820628904
"RELL1",0,0,0,0,0,0,0,0,0,0,0,0,0,4.78398003950045
"NSMCE1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.72566574583577
"BCL9",0,0,0,0,0,0,0,0,0,0,0,0,0,0.166315505797134
"TRANK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.267815862673406
"NBN",0,0,0,0,0,0,0,0,0,0,0,0,0,0.203135016543947
"MYO6",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1135077239436
"ZNF557",0,0,0,0,0,0,0,0,0,0,0,0,0,2.07703339627098
"SNX30",0,0,0,0,0,0,0,0,0,0,0,0,0,0.236886656792473
"TNIP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.934960014138092
"TTC7A",0,0,0,0,0,0,0,0,0,0,0,1,0,0.973928856363752
"NKG7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.815956836360675
"SAMSN1",0,0,0,0,0,0,0,0,0,0,1,0,0,0.0413283426446962
"FBXL13",0,0,0,0,0,0,0,0,0,0,0,0,0,0.824984567729683
"KIAA0100",0,0,0,0,0,0,0,0,0,0,0,0,0,10.334220220654
"WWP1",0,0,0,0,0,0,0,0,0,0,0,0,0,2.76566201213583
"PTGER2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.707487402043733
"SLAMF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.205786978437564
"TRBC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.112558112570933
"TBC1D4",0,0,0,0,0,0,0,0,0,0,0,0,0,1.52529198835351
"NSL1",0,0,0,0,0,0,0,0,0,0,0,0,0,-6.39342280904911
"MEFV",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563528712070316
"DCSTAMP",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73018993878162
"NUP98",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.841768956278206
"NCR3LG1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124319454912685
"CD8A",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.569084976081258
"SPA17",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32544488978124
"DESI2",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.20411699854188
"LOC100506258",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00811289538456
"PLD3",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.29815257992434
"HMMR",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18675775630747
"BBS10",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00692810626925282
"RRAS2",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.87442576366365
"GNG2",0,0,0,0,0,1,0,0,0,0,0,0,0,-0.258415327581646
"DDIT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.278303919936927
"AMFR",0,0,0,0,0,0,0,0,0,0,0,0,0,2.66457149052255
"LMAN1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.57756604693655
"KLHDC8B",0,0,0,0,0,0,0,0,0,0,0,0,0,1.94346655219612
"SLC25A36",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.634677308482136
"MRPS25",0,0,0,0,0,0,0,0,0,0,0,0,0,0.107313480563172
"KRT23",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.643714165166724
"LRCH1",0,0,0,0,0,0,0,0,0,0,0,0,0,6.08184732639557
"ADM",0,0,0,0,0,0,0,0,0,0,0,0,0,0.4178321132091
"LINC01002",0,0,0,0,0,0,0,0,0,0,0,0,0,0.315379610294653
"PPFIBP2",0,0,1,0,1,0,0,0,0,0,0,0,0,1.0613303919845
"NOLC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.270837225010698
"TNFAIP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.811393999144874
"ADORA2A",0,0,0,0,0,0,0,0,1,1,1,0,0,0.155222500328536
"ZNF28",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1447239107622
"IFITM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.598233495745455
"PLK3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.994592341322364
"KLHL42",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.423871228750464
"SLAMF7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.723829420959541
"SLC7A5",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0407505475071836
"LPCAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.613001180805533
"PARN",0,0,0,0,0,0,0,0,0,0,0,0,0,0.17597040390245
"PREPL",0,0,0,0,0,0,0,0,0,0,0,1,0,0.310278163809555
"FAM65B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.612148963382497
"GNLY",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.62228103664477
"MAP3K8",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.588049255478989
"ATP1B1",0,0,0,0,0,0,0,0,0,0,0,0,0,4.32430550356512
"MIOS",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.23651270901258
"SULT1B1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.868924164694327
"ZCCHC6",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.660488220547349
"CLEC4E",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.507509432271966
"IFITM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.695652823711744
"CLEC2D",0,0,0,0,0,0,0,0,0,0,0,0,0,3.01914773097865
"POLR2M",0,0,0,0,0,0,0,0,0,0,0,0,0,0.352444865689524
"MRPS33",0,0,0,0,0,0,0,0,0,0,0,0,0,0.127616194752453
"BRAF",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179931930375982
"CDC40",0,0,0,0,0,0,0,0,0,0,0,0,0,1.63022141848668
"RNF19B",0,0,0,0,0,0,0,0,0,0,0,0,0,-10.4784503215178
"FAM162A",0,0,0,0,0,0,0,0,0,0,1,0,0,11.2956971835225
"ZFP69B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.28013756155996
"SLC25A20",0,0,0,0,0,0,0,0,0,0,0,0,0,1.97107145829223
"FPR2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118425927832981
"LCP2",0,0,1,0,1,0,0,0,1,1,1,0,0,0.0706764719090119
"TMEM88",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.431395426841476
"C11orf31",0,0,0,0,0,0,0,0,0,0,0,0,0,1.58505952175028
"ETV5",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.641724532685059
"SMCHD1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.95890957001822
"NINJ1",0,0,0,0,0,0,0,1,0,0,0,0,0,-0.252452952363552
"SPACA6P",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.381372168275905
"PTP4A3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.897737055591428
"LINC01000",0,0,0,0,0,0,0,0,0,0,0,0,0,0.549196404232694
"HLA-DMB",0,0,0,0,0,0,0,0,0,0,1,0,0,3.85091696633829
"RNF175",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.314961768511977
"SCGB1A1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.92659264892824
"N4BP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.610096621169743
"LINC01136",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.698367035455268
"ARHGAP26",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227963106230853
"MYH10",0,0,0,0,0,0,0,0,0,0,0,0,0,0.929009060969965
"OR2A7",0,0,0,0,0,0,0,0,0,0,0,0,0,-11.9962288935569
"ZNF570",0,0,0,0,0,0,0,0,0,0,0,0,0,0.551658683316277
"IFITM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.523039703824734
"TBPL1",0,0,0,0,0,0,0,0,0,0,0,0,0,3.27616119058197
"CD300LF",0,0,0,0,0,0,0,0,0,0,0,0,0,-55.2725906456415
"ETFA",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.56382059160116
"CXCR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.511268226989467
"FTSJ2",1,1,0,1,0,1,0,0,0,0,0,0,0,7.36016552600857
"PHF19",0,0,0,0,0,0,0,0,0,0,0,0,0,5.47293258870819
"CYB5D1",0,0,0,0,0,0,0,0,0,0,0,0,0,6.29996548153241
"RLF",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.906920780821723
"LIPA",0,0,0,0,0,0,0,0,0,0,0,0,0,2.45332166583223
"FAM135A",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85408162133256
"ANTXR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.123084106265795
"KCNJ15",0,0,0,0,0,0,0,0,0,0,0,0,0,0.394313561225424
"MRPL57",0,0,0,0,0,0,0,0,0,0,0,0,0,1.41085746833218
"LIMK2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.941296068740223
"SORD",0,0,0,0,0,0,0,0,0,0,0,0,0,0.595312192162148
"LOC388210",0,0,0,0,0,0,0,0,0,0,0,0,0,0.37005782339508
"NLRP2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154038772725554
"CD177",0,0,0,0,0,0,0,0,0,0,0,0,0,0.684598311192988
"LINC01093",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.586532702256455
