"","t.test","welch.test","wilcox.test","f.test","kruskal.test","limma","rfe","rf","lasso","elasticnet","boosting","golub","shrinkcat","foldChange"
"SOCS1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48642122497186
"CCNYL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.897534147322204
"CAMP",0,0,0,0,0,0,0,0,0,0,0,0,0,34.0284270217149
"PTPRCAP",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202812357234606
"GNB4",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0115754801686808
"STAC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.506490307562545
"ASXL1",0,0,0,0,0,0,0,0,0,0,0,0,0,3.4890653890583
"ARPC3",0,0,0,0,0,0,0,0,0,0,0,0,0,1.82977035856306
"ADAM19",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04883268573511
"CD1C",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.91192927570292
"PTBP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.12356234286165
"ETS1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15969876980265
"GPR171",0,0,0,0,0,0,0,0,0,0,0,0,0,0.39690844777529
"GGT5",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191903412855548
"HRH4",0,0,0,0,0,0,0,0,0,0,0,0,0,-5.98651107536058
"BANK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.172962408414037
"THBS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.302072115905054
"IL2RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.251842945518244
"RNPEP",0,0,0,0,0,0,0,0,0,0,0,0,0,-6.94432557728518
"TRAM1",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4374765984394
"ANKRD10",0,0,0,0,0,0,0,0,0,0,0,0,0,0.125352010700363
"LINC01094",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0634898739293589
"BTBD19",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129123699456966
"ADAM1A",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247464841105633
"COPG1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.29802292072802
"PAQR8",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17369407435344
"C8orf60",0,0,0,0,0,0,0,0,0,0,0,0,0,0.236308396712633
"HN1",0,1,0,0,0,0,0,0,0,0,0,0,0,0.311272549731589
"SCARB2",1,0,0,1,0,0,0,0,0,0,0,0,0,-8.96868857902518
"TPSB2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.904618975712136
"ETS2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169518673876152
"FCF1",0,0,0,0,0,0,0,0,0,0,0,0,0,5.38743778903386
"C11orf49",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27669026515791
"ANKRD44-IT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.569754853375079
"XPNPEP3",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.93116790158566
"TP53",0,0,0,0,0,0,0,0,0,0,0,0,0,8.07949024969334
"OTOA",0,0,0,0,0,0,0,0,0,0,0,0,0,12.5600656276728
"MAGOHB",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.16235255798043
"BROX",0,0,0,0,0,0,0,0,0,0,0,0,0,11.1948961288815
"PPP3R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.947870455657586
"COQ2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167854742163869
"CSTA",0,0,0,0,0,0,0,0,0,0,0,0,0,21.6805868417173
"ZNF610",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3520602669498
"CUL2",0,0,0,0,0,0,0,0,0,0,0,0,0,-19.1786714520938
"IRF4",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.719192090842589
"TMEM120A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.423283081069068
"ITM2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.313642715818698
"UMPS",0,0,1,0,1,0,0,0,0,0,0,0,0,0.679818163667335
"C5orf22",0,0,0,0,0,0,0,0,0,0,0,0,0,-4.78230006638632
"SUMO1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28338340273764
"PRDX3",0,0,0,0,0,0,0,0,0,0,0,0,0,9.25459898861268
"LOC284454",0,0,0,0,0,0,0,0,0,0,0,0,0,0.968724281229438
"C2CD5",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36878252150477
"FLJ37453",0,0,0,0,0,0,0,0,0,0,0,0,0,38.6266336152302
"EXTL2",0,0,0,0,0,0,0,0,0,0,0,0,0,3.38586633028362
"ATG2A",1,1,0,1,1,0,0,0,0,0,0,0,0,-0.0154337905969782
"DCN",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01513996836776
"FAM101B",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.330122172343189
"BTG1",0,0,0,0,0,0,0,1,1,0,1,0,0,0.212585446917355
"ERN1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.33885204829054
"TGOLN2",0,0,0,0,0,0,0,0,0,1,1,0,0,-4.17153436279337
"LOC100130264",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.687266938130099
"SLC7A11",0,0,0,0,0,0,0,0,0,0,0,0,0,19.1289072576253
"PRKCZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0.575664346983367
"SH2D2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.70587556110185
"PDE2A",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.542053126991736
"GINM1",0,0,0,0,0,1,0,0,0,0,0,0,0,-1.62876569512844
"SLC16A10",0,0,0,0,0,0,0,0,0,0,0,0,0,1.76201823854004
"MAP3K1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.697207074352751
"FRMD4B",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.806765158677587
"MARS2",0,0,0,0,0,0,0,0,0,0,0,0,0,8.39292547535908
"DNAJC19",0,0,0,0,0,0,0,0,0,0,0,0,0,-4.01864236964469
"FAM57A",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.932652180838628
"HIF1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.52170965793205
"Mar-01",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143336996927652
"LSM6",0,0,0,0,0,0,0,0,0,0,0,0,0,-7.48918815224367
"ZYG11B",0,0,0,0,0,0,0,0,0,0,0,0,0,1.14814305815706
"ZCRB1",0,0,0,0,0,0,0,0,0,0,0,0,0,-4.60628292996783
"ACAA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.113045772651748
"P2RY10",0,0,0,0,0,0,0,0,0,0,0,0,0,1.26382595493506
"SLC35F5",0,0,0,0,0,0,0,0,0,0,0,0,0,1.1013622928373
"RNF135",0,0,0,0,0,0,0,0,0,0,0,0,0,3.71030647694684
"CCR3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17064191144594
"ADAT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.168671394797569
"PDIA6",0,0,0,0,0,0,0,0,0,0,0,0,0,4.57752618036463
"LOC286052",0,0,0,0,0,0,0,0,0,0,0,0,0,0.256377024471262
"CCDC115",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89515385120707
"SFMBT2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247471079619658
"WNT5A",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.30004959177537
"FBXO3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.759230119782439
"ZFYVE26",0,0,0,0,0,0,0,0,0,0,0,0,0,0.963536841151734
"ADAM10",0,0,0,0,1,1,0,0,0,0,0,0,0,2.44523992990522
"DNM2",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.63630800998534
"NFKBIE",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.196736841672095
"CD300LB",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115705336138738
"SRFBP1",0,0,0,0,0,0,0,0,0,0,0,0,0,2.01182515283901
"ANPEP",0,0,0,0,0,0,0,0,0,0,0,0,0,1.67785469450871
"ZKSCAN8",1,1,1,1,0,0,0,0,0,0,0,0,0,2.29712472511839
"GCSH",0,0,0,0,0,0,0,0,0,0,0,0,0,1.05820334376696
"LOC541473",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9173659046452
"SUCLG2",0,0,0,0,0,0,0,0,0,0,0,0,0,-4.13273490321322
"KIT",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0516523018747883
