"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"CCL17",0.687528111195403,1,0.494700041522254,1,0.922332762921019,1,0.472694903683926,1,3.13937489383387,1,0.517865805694305,1,1.85525892910338e-05,1,0.000360060229625447,1,0.229095909856375,1,0.0300501060132363,1,0,1,0.0748423364074755,1,3.32677441265529,1
"SATB1",0.310363471106342,0.508,0.310396723023536,0.508,0.479145080766171,0.508,0.0963254841971847,0.508,0.428316629862409,0.508,0.263303960955283,0.508,9.3723201047004e-05,1,-9.09090909090909e-05,1,0.169623370169864,1,0.0120998795873461,1,0.116987651125934,1,0.183029371910117,0.508,0.396903482359755,1
"SOCS2",4.0889742511816,1,4.08411317597689,1,0.99992569000871,1,16.7197104268262,1,14.9220315950399,1,2.40448641375077,1,9.2022812698702e-05,1,3e-04,1,0.132645190883261,1,0,1,0,1,0.355886281533636,1,0.498391746900732,1
"SMOX",1.68603233516248,0,1.66873392031969,0,0.437072886432761,0,2.84270503521344,0,0.348819432648208,0,0.186095847349644,0,8.15149402173828e-05,1,0,1,0.0618352454684687,1,0,1,0,1,0.162559956378736,0,1.8692579406652,1
"BIRC3",4.68406216644272,0,4.63376954696002,0,0.999684842441363,0,21.9404383791,0,12.4446237472397,0,15.8862559381479,0,0.000235261803518764,1,-0.000181818181818182,1,0,1,0,1,0,1,0.214572987712264,0,3.91505084141273,0
"LOC101927770",0.869755943983487,1,0.867513332074889,1,0.999705697023482,1,0.756475402094605,1,12.4446237472397,1,13.5996323932847,1,0.000587350590472764,1,0.00063432645785587,1,0,1,0,1,0,1,0.398646101431573,1,2.0708687296457,1
"TARP",4.97622623202218,1,3.73033035147525,1,0.489408304707907,1,24.7628275122657,1,0.449464922711058,1,0.76858646268684,1,0.000138300678954843,1,0.00082996632996633,1,0,1,0,1,0,1,0.18696281838212,1,4.22580072302761,1
"CISH",3.72351973851342,1,4.95584044883682,1,0.999993885354309,1,13.8645992430991,1,13.2454560896891,1,23.6972684985658,1,1.42675190026644e-05,1,0.00215664046098829,1,0,1,0,1,0,1,0.460961475733302,1,3.14792388103848,1
"BST1",1.55198289887377,0,0.424864527157048,0,0.999806421298428,0,2.40865091839663,0,0.134788517071514,0,0.756425607473789,0,0.000448022455979159,1,0,1,0,1,0,1,0,1,0.0129703054534075,0,0.210455568511153,0
"HELZ",0.426029915698055,1,1.54300239493205,1,0.278469020438119,1,0.18150148906969,1,18.8510276881264,1,1.21154967131468,1,4.8328172626074e-06,1,0.000297482837528604,1,0,1,0,1,0,1,0.131492198654625,1,4.18712260489747,1
